"procent_chorych","sd","N","beta","gamma","siec_typ","l_krokow","proc_chorych0","k_sr","lambda_kr","lambda","wsp"
0,0,1000,0,0.1,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.2,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.3,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.4,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.5,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.6,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.7,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.8,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,0.9,"ba",100,0.05,1.998,0.231571627260083,0,0
0,0,1000,0,1,"ba",100,0.05,1.998,0.231571627260083,0,0
0.9658,0.00410419839243237,1000,0.1,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.1893,0.0152756160086736,1000,0.1,0.1,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.1,0.2,"ba",100,0.05,1.998,0.231571627260083,0.5,2.15915915915916
0,0,1000,0.1,0.3,"ba",100,0.05,1.998,0.231571627260083,0.333333333333333,1.43943943943944
0,0,1000,0.1,0.4,"ba",100,0.05,1.998,0.231571627260083,0.25,1.07957957957958
0,0,1000,0.1,0.5,"ba",100,0.05,1.998,0.231571627260083,0.2,0.863663663663664
0,0,1000,0.1,0.6,"ba",100,0.05,1.998,0.231571627260083,0.166666666666667,0.71971971971972
0,0,1000,0.1,0.7,"ba",100,0.05,1.998,0.231571627260083,0.142857142857143,0.616902616902617
0,0,1000,0.1,0.8,"ba",100,0.05,1.998,0.231571627260083,0.125,0.53978978978979
0,0,1000,0.1,0.9,"ba",100,0.05,1.998,0.231571627260083,0.111111111111111,0.479813146479813
0,0,1000,0.1,1,"ba",100,0.05,1.998,0.231571627260083,0.1,0.431831831831832
1,0,1000,0.2,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.4691,0.014340695783523,1000,0.2,0.1,"ba",100,0.05,1.998,0.231571627260083,2,8.63663663663664
0.1728,0.00695701085237043,1000,0.2,0.2,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0.009,0.00240370085030933,1000,0.2,0.3,"ba",100,0.05,1.998,0.231571627260083,0.666666666666667,2.87887887887888
0,0,1000,0.2,0.4,"ba",100,0.05,1.998,0.231571627260083,0.5,2.15915915915916
0,0,1000,0.2,0.5,"ba",100,0.05,1.998,0.231571627260083,0.4,1.72732732732733
0,0,1000,0.2,0.6,"ba",100,0.05,1.998,0.231571627260083,0.333333333333333,1.43943943943944
0,0,1000,0.2,0.7,"ba",100,0.05,1.998,0.231571627260083,0.285714285714286,1.23380523380523
0,0,1000,0.2,0.8,"ba",100,0.05,1.998,0.231571627260083,0.25,1.07957957957958
0,0,1000,0.2,0.9,"ba",100,0.05,1.998,0.231571627260083,0.222222222222222,0.959626292959626
0,0,1000,0.2,1,"ba",100,0.05,1.998,0.231571627260083,0.2,0.863663663663664
1,0,1000,0.3,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.636,0.0107393357957247,1000,0.3,0.1,"ba",100,0.05,1.998,0.231571627260083,3,12.954954954955
0.3444,0.0181119972516684,1000,0.3,0.2,"ba",100,0.05,1.998,0.231571627260083,1.5,6.47747747747748
0.1336,0.00800277729569207,1000,0.3,0.3,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.3,0.4,"ba",100,0.05,1.998,0.231571627260083,0.75,3.23873873873874
0,0,1000,0.3,0.5,"ba",100,0.05,1.998,0.231571627260083,0.6,2.59099099099099
0,0,1000,0.3,0.6,"ba",100,0.05,1.998,0.231571627260083,0.5,2.15915915915916
0,0,1000,0.3,0.7,"ba",100,0.05,1.998,0.231571627260083,0.428571428571429,1.85070785070785
0,0,1000,0.3,0.8,"ba",100,0.05,1.998,0.231571627260083,0.375,1.61936936936937
0,0,1000,0.3,0.9,"ba",100,0.05,1.998,0.231571627260083,0.333333333333333,1.43943943943944
0,0,1000,0.3,1,"ba",100,0.05,1.998,0.231571627260083,0.3,1.2954954954955
1,0,1000,0.4,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.7505,0.011955937622974,1000,0.4,0.1,"ba",100,0.05,1.998,0.231571627260083,4,17.2732732732733
0.4784,0.0182342778548778,1000,0.4,0.2,"ba",100,0.05,1.998,0.231571627260083,2,8.63663663663664
0.2504,0.0103301070232167,1000,0.4,0.3,"ba",100,0.05,1.998,0.231571627260083,1.33333333333333,5.75775775775776
0.0813,0.0161798914980567,1000,0.4,0.4,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.4,0.5,"ba",100,0.05,1.998,0.231571627260083,0.8,3.45465465465465
0,0,1000,0.4,0.6,"ba",100,0.05,1.998,0.231571627260083,0.666666666666667,2.87887887887888
0,0,1000,0.4,0.7,"ba",100,0.05,1.998,0.231571627260083,0.571428571428572,2.46761046761047
0,0,1000,0.4,0.8,"ba",100,0.05,1.998,0.231571627260083,0.5,2.15915915915916
0,0,1000,0.4,0.9,"ba",100,0.05,1.998,0.231571627260083,0.444444444444444,1.91925258591925
0,0,1000,0.4,1,"ba",100,0.05,1.998,0.231571627260083,0.4,1.72732732732733
1,0,1000,0.5,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.7862,0.00805260482356141,1000,0.5,0.1,"ba",100,0.05,1.998,0.231571627260083,5,21.5915915915916
0.5498,0.0112822377606966,1000,0.5,0.2,"ba",100,0.05,1.998,0.231571627260083,2.5,10.7957957957958
0.3417,0.023598728779322,1000,0.5,0.3,"ba",100,0.05,1.998,0.231571627260083,1.66666666666667,7.1971971971972
0.1906,0.0115777564512493,1000,0.5,0.4,"ba",100,0.05,1.998,0.231571627260083,1.25,5.3978978978979
0,0,1000,0.5,0.5,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.5,0.6,"ba",100,0.05,1.998,0.231571627260083,0.833333333333333,3.5985985985986
0,0,1000,0.5,0.7,"ba",100,0.05,1.998,0.231571627260083,0.714285714285714,3.08451308451308
0,0,1000,0.5,0.8,"ba",100,0.05,1.998,0.231571627260083,0.625,2.69894894894895
0,0,1000,0.5,0.9,"ba",100,0.05,1.998,0.231571627260083,0.555555555555556,2.39906573239907
0,0,1000,0.5,1,"ba",100,0.05,1.998,0.231571627260083,0.5,2.15915915915916
1,0,1000,0.6,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.8181,0.0115031396680307,1000,0.6,0.1,"ba",100,0.05,1.998,0.231571627260083,6,25.9099099099099
0.6444,0.0143928994839662,1000,0.6,0.2,"ba",100,0.05,1.998,0.231571627260083,3,12.954954954955
0.4241,0.0104077962231311,1000,0.6,0.3,"ba",100,0.05,1.998,0.231571627260083,2,8.63663663663664
0.2243,0.00808359106118342,1000,0.6,0.4,"ba",100,0.05,1.998,0.231571627260083,1.5,6.47747747747748
0.0826,0.0118621714332204,1000,0.6,0.5,"ba",100,0.05,1.998,0.231571627260083,1.2,5.18198198198198
0,0,1000,0.6,0.6,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.6,0.7,"ba",100,0.05,1.998,0.231571627260083,0.857142857142857,3.7014157014157
0,0,1000,0.6,0.8,"ba",100,0.05,1.998,0.231571627260083,0.75,3.23873873873874
0,0,1000,0.6,0.9,"ba",100,0.05,1.998,0.231571627260083,0.666666666666667,2.87887887887888
0,0,1000,0.6,1,"ba",100,0.05,1.998,0.231571627260083,0.6,2.59099099099099
1,0,1000,0.7,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.8409,0.0142941324403485,1000,0.7,0.1,"ba",100,0.05,1.998,0.231571627260083,7,30.2282282282282
0.6884,0.0205437203165455,1000,0.7,0.2,"ba",100,0.05,1.998,0.231571627260083,3.5,15.1141141141141
0.4874,0.0184764113879773,1000,0.7,0.3,"ba",100,0.05,1.998,0.231571627260083,2.33333333333333,10.0760760760761
0.3041,0.0150513934386304,1000,0.7,0.4,"ba",100,0.05,1.998,0.231571627260083,1.75,7.55705705705706
0.1339,0.0192610718520255,1000,0.7,0.5,"ba",100,0.05,1.998,0.231571627260083,1.4,6.04564564564564
0,0,1000,0.7,0.6,"ba",100,0.05,1.998,0.231571627260083,1.16666666666667,5.03803803803804
0,0,1000,0.7,0.7,"ba",100,0.05,1.998,0.231571627260083,1,4.31831831831832
0,0,1000,0.7,0.8,"ba",100,0.05,1.998,0.231571627260083,0.875,3.77852852852853
0,0,1000,0.7,0.9,"ba",100,0.05,1.998,0.231571627260083,0.777777777777778,3.35869202535869
0,0,1000,0.7,1,"ba",100,0.05,1.998,0.231571627260083,0.7,3.02282282282282
1,0,1000,0.8,0,"ba",100,0.05,1.998,0.231571627260083,Inf,Inf
0.8687,0.0105414525669958,1000,0.8,0.1,"ba",100,0.05,1.998,0.231571627260083,8,34.5465465465465
0.72,0.0110453610171873,1000,0.8,0.2,"ba",100,0.05,1.998,0.231571627260083,4,17.2732732732733
0.573,0.0190438091427809,1000,0.8,0.3,"ba",100,0.05,1.998,0.231571627260083,2.66666666666667,11.5155155155155
0.3721,0.0232782683586597,1000,0.8,0.4,"ba",100,0.05,1.998,0.231571627260083,2,8.63663663663664
0,0,100,1e-04,0.1,"ba",100,0.05,1.98,0.227064220183486,0.001,0.0044040404040404
0.486,0.0656928881657334,100,0.2001,0.1,"ba",100,0.05,1.98,0.227064220183486,2.001,8.81248484848485
0.753,0.047152235719352,100,0.4001,0.1,"ba",100,0.05,1.98,0.227064220183486,4.001,17.6205656565657
0.831,0.0384274207652123,100,0.6001,0.1,"ba",100,0.05,1.98,0.227064220183486,6.001,26.4286464646465
0.84,0.0286744175568088,100,0.8001,0.1,"ba",100,0.05,1.98,0.227064220183486,8.001,35.2367272727273
0,0,100,1e-04,0.1,"ba",100,0.1,1.98,0.227064220183486,0.001,0.0044040404040404
0.583,0.0286937856222098,100,0.2001,0.1,"ba",100,0.1,1.98,0.227064220183486,2.001,8.81248484848485
0.77,0.0309120616516524,100,0.4001,0.1,"ba",100,0.1,1.98,0.227064220183486,4.001,17.6205656565657
0.865,0.0236877840059198,100,0.6001,0.1,"ba",100,0.1,1.98,0.227064220183486,6.001,26.4286464646465
0.874,0.0368781778291716,100,0.8001,0.1,"ba",100,0.1,1.98,0.227064220183486,8.001,35.2367272727273
0,0,100,1e-04,0.1,"ba",100,0.2,1.98,0.227064220183486,0.001,0.0044040404040404
0.412,0.0261618891604648,100,0.2001,0.1,"ba",100,0.2,1.98,0.227064220183486,2.001,8.81248484848485
0.756,0.0222111083319436,100,0.4001,0.1,"ba",100,0.2,1.98,0.227064220183486,4.001,17.6205656565657
0.787,0.0444847039878753,100,0.6001,0.1,"ba",100,0.2,1.98,0.227064220183486,6.001,26.4286464646465
