krok,proc_chorych
0.0,0.043
1.0,0.043
2.0,0.043
3.0,0.043
4.0,0.043
5.0,0.043
6.0,0.043
7.0,0.043
8.0,0.043
9.0,0.043
10.0,0.043
11.0,0.043
12.0,0.043
13.0,0.043
14.0,0.043
15.0,0.043
16.0,0.043
17.0,0.043
18.0,0.043
19.0,0.043
20.0,0.043
21.0,0.043
22.0,0.043
23.0,0.043
24.0,0.043
25.0,0.043
26.0,0.043
27.0,0.043
28.0,0.043
29.0,0.043
30.0,0.043
31.0,0.043
32.0,0.043
33.0,0.043
34.0,0.043
35.0,0.043
36.0,0.043
37.0,0.043
38.0,0.043
39.0,0.043
40.0,0.043
41.0,0.043
42.0,0.043
43.0,0.043
44.0,0.043
45.0,0.043
46.0,0.043
47.0,0.043
48.0,0.043
49.0,0.043
50.0,0.043
51.0,0.043
52.0,0.043
53.0,0.043
54.0,0.043
55.0,0.043
56.0,0.043
57.0,0.043
58.0,0.043
59.0,0.043
60.0,0.043
61.0,0.043
62.0,0.043
63.0,0.043
64.0,0.043
65.0,0.043
66.0,0.043
67.0,0.043
68.0,0.043
69.0,0.043
70.0,0.043
71.0,0.043
72.0,0.043
73.0,0.043
74.0,0.043
75.0,0.043
76.0,0.043
77.0,0.043
78.0,0.043
79.0,0.043
80.0,0.043
81.0,0.043
82.0,0.043
83.0,0.043
84.0,0.043
85.0,0.043
86.0,0.043
87.0,0.043
88.0,0.043
89.0,0.043
90.0,0.043
91.0,0.043
92.0,0.043
93.0,0.043
94.0,0.043
95.0,0.043
96.0,0.043
97.0,0.043
98.0,0.043
99.0,0.043
100.0,0.043
