"","krok","proc_chorych"
"1",0,0.05
"2",1,0.05
"3",2,0.05
"4",3,0.05
"5",4,0.05
"6",5,0.05
"7",6,0.05
"8",7,0.05
"9",8,0.05
"10",9,0.05
"11",10,0.05
"12",11,0.05
"13",12,0.05
"14",13,0.05
"15",14,0.05
"16",15,0.05
"17",16,0.05
"18",17,0.05
"19",18,0.05
"20",19,0.05
"21",20,0.05
"22",21,0.05
"23",22,0.05
"24",23,0.05
"25",24,0.05
"26",25,0.05
"27",26,0.05
"28",27,0.05
"29",28,0.05
"30",29,0.05
"31",30,0.05
"32",31,0.05
"33",32,0.05
"34",33,0.05
"35",34,0.05
"36",35,0.05
"37",36,0.05
"38",37,0.05
"39",38,0.05
"40",39,0.05
"41",40,0.05
"42",41,0.05
"43",42,0.05
"44",43,0.05
"45",44,0.05
"46",45,0.05
"47",46,0.05
"48",47,0.05
"49",48,0.05
"50",49,0.05
"51",50,0.05
"52",51,0.05
"53",52,0.05
"54",53,0.05
"55",54,0.05
"56",55,0.05
"57",56,0.05
"58",57,0.05
"59",58,0.05
"60",59,0.05
"61",60,0.05
"62",61,0.05
"63",62,0.05
"64",63,0.05
"65",64,0.05
"66",65,0.05
"67",66,0.05
"68",67,0.05
"69",68,0.05
"70",69,0.05
"71",70,0.05
"72",71,0.05
"73",72,0.05
"74",73,0.05
"75",74,0.05
"76",75,0.05
"77",76,0.05
"78",77,0.05
"79",78,0.05
"80",79,0.05
"81",80,0.05
"82",81,0.05
"83",82,0.05
"84",83,0.05
"85",84,0.05
"86",85,0.05
"87",86,0.05
"88",87,0.05
"89",88,0.05
"90",89,0.05
"91",90,0.05
"92",91,0.05
"93",92,0.05
"94",93,0.05
"95",94,0.05
"96",95,0.05
"97",96,0.05
"98",97,0.05
"99",98,0.05
"100",99,0.05
"101",100,0.05
