"","krok","proc_chorych"
"1",0,0.0458984375
"2",1,0.07421875
"3",2,0.115234375
"4",3,0.15625
"5",4,0.21875
"6",5,0.2568359375
"7",6,0.30078125
"8",7,0.359375
"9",8,0.4111328125
"10",9,0.46875
"11",10,0.5244140625
"12",11,0.5693359375
"13",12,0.6181640625
"14",13,0.66015625
"15",14,0.7236328125
"16",15,0.7568359375
"17",16,0.7978515625
"18",17,0.8408203125
"19",18,0.865234375
"20",19,0.8916015625
"21",20,0.912109375
"22",21,0.931640625
"23",22,0.947265625
"24",23,0.9599609375
"25",24,0.970703125
"26",25,0.974609375
"27",26,0.98046875
"28",27,0.9814453125
"29",28,0.9853515625
"30",29,0.98828125
"31",30,0.9921875
"32",31,0.9931640625
"33",32,0.9951171875
"34",33,0.99609375
"35",34,0.9970703125
"36",35,0.9990234375
"37",36,0.9990234375
"38",37,1
"39",38,1
"40",39,1
"41",40,1
"42",41,1
"43",42,1
"44",43,1
"45",44,1
"46",45,1
"47",46,1
"48",47,1
"49",48,1
"50",49,1
"51",50,1
"52",51,1
"53",52,1
"54",53,1
"55",54,1
"56",55,1
"57",56,1
"58",57,1
"59",58,1
"60",59,1
"61",60,1
"62",61,1
"63",62,1
"64",63,1
"65",64,1
"66",65,1
"67",66,1
"68",67,1
"69",68,1
"70",69,1
"71",70,1
"72",71,1
"73",72,1
"74",73,1
"75",74,1
"76",75,1
"77",76,1
"78",77,1
"79",78,1
"80",79,1
"81",80,1
"82",81,1
"83",82,1
"84",83,1
"85",84,1
"86",85,1
"87",86,1
"88",87,1
"89",88,1
"90",89,1
"91",90,1
"92",91,1
"93",92,1
"94",93,1
"95",94,1
"96",95,1
"97",96,1
"98",97,1
"99",98,1
"100",99,1
"101",100,1
