"","krok","proc_chorych"
"1",0,0.059
"2",1,0.595
"3",2,0.752
"4",3,0.82
"5",4,0.818
"6",5,0.841
"7",6,0.836
"8",7,0.845
"9",8,0.859
"10",9,0.853
"11",10,0.84
"12",11,0.831
"13",12,0.837
"14",13,0.848
"15",14,0.858
"16",15,0.853
"17",16,0.86
"18",17,0.844
"19",18,0.832
"20",19,0.844
"21",20,0.838
"22",21,0.843
"23",22,0.836
"24",23,0.837
"25",24,0.834
"26",25,0.839
"27",26,0.852
"28",27,0.867
"29",28,0.86
"30",29,0.849
"31",30,0.842
"32",31,0.843
"33",32,0.841
"34",33,0.843
"35",34,0.833
"36",35,0.836
"37",36,0.849
"38",37,0.839
"39",38,0.846
"40",39,0.86
"41",40,0.863
"42",41,0.862
"43",42,0.875
"44",43,0.853
"45",44,0.834
"46",45,0.837
"47",46,0.856
"48",47,0.828
"49",48,0.829
"50",49,0.853
"51",50,0.838
"52",51,0.858
"53",52,0.842
"54",53,0.839
"55",54,0.835
"56",55,0.839
"57",56,0.84
"58",57,0.839
"59",58,0.823
"60",59,0.839
"61",60,0.85
"62",61,0.858
"63",62,0.86
"64",63,0.86
"65",64,0.84
"66",65,0.858
"67",66,0.844
"68",67,0.841
"69",68,0.852
"70",69,0.846
"71",70,0.843
"72",71,0.838
"73",72,0.834
"74",73,0.855
"75",74,0.865
"76",75,0.852
"77",76,0.855
"78",77,0.846
"79",78,0.87
"80",79,0.859
"81",80,0.841
"82",81,0.84
"83",82,0.855
"84",83,0.824
"85",84,0.829
"86",85,0.853
"87",86,0.852
"88",87,0.844
"89",88,0.837
"90",89,0.858
"91",90,0.86
"92",91,0.862
"93",92,0.852
"94",93,0.847
"95",94,0.828
"96",95,0.847
"97",96,0.836
"98",97,0.853
"99",98,0.847
"100",99,0.858
"101",100,0.856
