krok,proc_chorych
0.0,0.044
1.0,0.052
2.0,0.07
3.0,0.075
4.0,0.086
5.0,0.099
6.0,0.107
7.0,0.112
8.0,0.116
9.0,0.125
10.0,0.132
11.0,0.125
12.0,0.132
13.0,0.133
14.0,0.147
15.0,0.141
16.0,0.123
17.0,0.124
18.0,0.13
19.0,0.148
20.0,0.154
21.0,0.169
22.0,0.185
23.0,0.193
24.0,0.2
25.0,0.207
26.0,0.21
27.0,0.212
28.0,0.212
29.0,0.205
30.0,0.227
31.0,0.224
32.0,0.206
33.0,0.214
34.0,0.191
35.0,0.191
36.0,0.207
37.0,0.219
38.0,0.22
39.0,0.22
40.0,0.224
41.0,0.234
42.0,0.245
43.0,0.238
44.0,0.225
45.0,0.238
46.0,0.24
47.0,0.244
48.0,0.229
49.0,0.243
50.0,0.219
51.0,0.205
52.0,0.209
53.0,0.199
54.0,0.198
55.0,0.209
56.0,0.218
57.0,0.223
58.0,0.22
59.0,0.204
60.0,0.207
61.0,0.22
62.0,0.21
63.0,0.217
64.0,0.23
65.0,0.221
66.0,0.234
67.0,0.222
68.0,0.218
69.0,0.223
70.0,0.227
71.0,0.223
72.0,0.207
73.0,0.213
74.0,0.232
75.0,0.226
76.0,0.235
77.0,0.258
78.0,0.265
79.0,0.272
80.0,0.238
81.0,0.229
82.0,0.218
83.0,0.219
84.0,0.225
85.0,0.205
86.0,0.216
87.0,0.221
88.0,0.251
89.0,0.253
90.0,0.255
91.0,0.254
92.0,0.267
93.0,0.252
94.0,0.236
95.0,0.241
96.0,0.247
97.0,0.255
98.0,0.252
99.0,0.263
100.0,0.237
