"","krok","proc_chorych"
"1",0,0.05
"2",1,0.227
"3",2,0.37
"4",3,0.497
"5",4,0.594
"6",5,0.679
"7",6,0.756
"8",7,0.799
"9",8,0.843
"10",9,0.881
"11",10,0.901
"12",11,0.921
"13",12,0.931
"14",13,0.944
"15",14,0.954
"16",15,0.965
"17",16,0.971
"18",17,0.976
"19",18,0.983
"20",19,0.987
"21",20,0.993
"22",21,0.995
"23",22,0.996
"24",23,0.997
"25",24,0.997
"26",25,0.998
"27",26,0.998
"28",27,0.999
"29",28,0.999
"30",29,1
"31",30,1
"32",31,1
"33",32,1
"34",33,1
"35",34,1
"36",35,1
"37",36,1
"38",37,1
"39",38,1
"40",39,1
"41",40,1
"42",41,1
"43",42,1
"44",43,1
"45",44,1
"46",45,1
"47",46,1
"48",47,1
"49",48,1
"50",49,1
"51",50,1
"52",51,1
"53",52,1
"54",53,1
"55",54,1
"56",55,1
"57",56,1
"58",57,1
"59",58,1
"60",59,1
"61",60,1
"62",61,1
"63",62,1
"64",63,1
"65",64,1
"66",65,1
"67",66,1
"68",67,1
"69",68,1
"70",69,1
"71",70,1
"72",71,1
"73",72,1
"74",73,1
"75",74,1
"76",75,1
"77",76,1
"78",77,1
"79",78,1
"80",79,1
"81",80,1
"82",81,1
"83",82,1
"84",83,1
"85",84,1
"86",85,1
"87",86,1
"88",87,1
"89",88,1
"90",89,1
"91",90,1
"92",91,1
"93",92,1
"94",93,1
"95",94,1
"96",95,1
"97",96,1
"98",97,1
"99",98,1
"100",99,1
"101",100,1
