"","krok","proc_chorych"
"1",0,0.051
"2",1,0.108
"3",2,0.146
"4",3,0.159
"5",4,0.153
"6",5,0.137
"7",6,0.17
"8",7,0.173
"9",8,0.154
"10",9,0.154
"11",10,0.165
"12",11,0.173
"13",12,0.186
"14",13,0.189
"15",14,0.172
"16",15,0.166
"17",16,0.148
"18",17,0.159
"19",18,0.15
"20",19,0.152
"21",20,0.168
"22",21,0.154
"23",22,0.153
"24",23,0.17
"25",24,0.173
"26",25,0.181
"27",26,0.179
"28",27,0.183
"29",28,0.157
"30",29,0.157
"31",30,0.17
"32",31,0.169
"33",32,0.156
"34",33,0.142
"35",34,0.157
"36",35,0.148
"37",36,0.17
"38",37,0.159
"39",38,0.158
"40",39,0.167
"41",40,0.183
"42",41,0.18
"43",42,0.169
"44",43,0.162
"45",44,0.154
"46",45,0.149
"47",46,0.182
"48",47,0.18
"49",48,0.173
"50",49,0.163
"51",50,0.165
"52",51,0.167
"53",52,0.173
"54",53,0.154
"55",54,0.174
"56",55,0.16
"57",56,0.162
"58",57,0.168
"59",58,0.133
"60",59,0.125
"61",60,0.146
"62",61,0.162
"63",62,0.159
"64",63,0.137
"65",64,0.153
"66",65,0.166
"67",66,0.179
"68",67,0.163
"69",68,0.17
"70",69,0.166
"71",70,0.17
"72",71,0.167
"73",72,0.169
"74",73,0.162
"75",74,0.179
"76",75,0.184
"77",76,0.193
"78",77,0.169
"79",78,0.159
"80",79,0.159
"81",80,0.15
"82",81,0.148
"83",82,0.156
"84",83,0.187
"85",84,0.193
"86",85,0.192
"87",86,0.173
"88",87,0.168
"89",88,0.183
"90",89,0.183
"91",90,0.18
"92",91,0.16
"93",92,0.178
"94",93,0.164
"95",94,0.16
"96",95,0.154
"97",96,0.172
"98",97,0.153
"99",98,0.162
"100",99,0.166
"101",100,0.171
